dataset,n_points,threads,iteration,elapsed_ms,cores1,cores2,total_cores
dataset,120000,1,2,299,119882,78,119960
dataset,120000,1,3,300,119882,78,119960
dataset,120000,1,4,298,119882,78,119960
dataset,120000,1,5,299,119882,78,119960
dataset,120000,1,6,296,119882,78,119960
dataset,120000,1,7,304,119882,78,119960
dataset,120000,1,8,307,119882,78,119960
dataset,120000,1,9,321,119882,78,119960
dataset,120000,10,0,77.9998,119882,78,119960
dataset,120000,10,1,88.0001,119882,78,119960
dataset,120000,10,2,85,119882,78,119960
dataset,120000,10,3,85,119882,78,119960
dataset,120000,10,4,82,119882,78,119960
dataset,120000,10,5,86,119882,78,119960
dataset,120000,10,6,80.0002,119882,78,119960
dataset,120000,10,7,88.0001,119882,78,119960
dataset,120000,10,8,87.0001,119882,78,119960
dataset,120000,10,9,85,119882,78,119960
dataset,120000,20,0,86,119882,78,119960
dataset,120000,20,1,75,119882,78,119960
dataset,120000,20,2,96.9999,119882,78,119960
dataset,120000,20,3,79.0002,119882,78,119960
dataset,120000,20,4,108,119882,78,119960
dataset,120000,20,5,66,119882,78,119960
dataset,120000,20,6,94.0001,119882,78,119960
dataset,120000,20,7,63.9999,119882,78,119960
dataset,120000,20,8,95,119882,78,119960
dataset,120000,20,9,73,119882,78,119960
dataset,120000,40,0,70.9999,119882,78,119960
dataset,120000,40,1,95,119882,78,119960
dataset,120000,40,2,66,119882,78,119960
dataset,120000,40,3,86.9999,119882,78,119960
dataset,120000,40,4,76.0002,119882,78,119960
dataset,120000,40,5,70.9999,119882,78,119960
dataset,120000,40,6,88.0001,119882,78,119960
dataset,120000,40,7,70.9999,119882,78,119960
dataset,120000,40,8,86,119882,78,119960
dataset,120000,40,9,71.0001,119882,78,119960
